timestamp,X Acceleration,X Velocity,X Displacement,Y Acceleration,Y Velocity,Y Displacement,Z Acceleration,Z Velocity,Z Displacement
12.3852085,-0.097844422,1.78428636,0.882346145,-0.23482722,1.743550704,0.87843224,0.051940918,-0.746079831,-0.417801892
12.5381123,-0.129094422,1.813856499,0.930561025,-0.258508861,1.620690528,0.961707084,0.081726074,-0.704913489,-0.427124693
12.69101611,-0.270695984,1.728175237,0.976045485,-0.265588939,1.484439627,1.028491437,0.186950684,-0.566049763,-0.425036139
12.84391992,-0.290715516,1.537424692,1.002886455,-0.246790111,1.366945072,1.079437298,0.129333496,-0.394023265,-0.401280643
12.99682373,-0.337590516,1.31485009,1.001943213,-0.22701472,1.288822338,1.119377285,0.043151855,-0.335134221,-0.361903745
13.14972754,-0.305852234,1.100476454,0.973100857,-0.245325267,1.223627342,1.152923136,0.082946777,-0.320462206,-0.319436605
13.30263135,-0.099553406,1.084584164,0.934081833,-0.26998347,1.139288382,1.180495747,0.032409668,-0.325684266,-0.2798048
13.45553516,-0.123479187,1.225192166,0.914042623,-0.345911205,0.992105251,1.196866491,-0.030822754,-0.427236284,-0.253050832
13.60843896,-0.232854187,1.284361156,0.920674101,-0.294397533,0.837281044,1.197596366,-0.015686035,-0.56992952,-0.250328314
13.76134277,-0.330510437,1.204594639,0.938857708,-0.19942683,0.80137983,1.191976653,0.155456543,-0.572922784,-0.263903063
13.91424658,-0.413029969,1.004595127,0.950287986,-0.212854564,0.835622905,1.195212402,0.192810059,-0.421059538,-0.270796024
14.06715039,-0.301213562,0.840267129,0.949889481,-0.310510814,0.797284731,1.208072544,0.143981934,-0.284123129,-0.260370715
14.2200542,-0.223576844,0.830142434,0.953447939,-0.369104564,0.653324561,1.218161284,0.023620605,-0.284169787,-0.245001912
14.37295801,-0.187932312,0.916455368,0.981296629,-0.310510814,0.520738075,1.219645816,-0.02935791,-0.423435486,-0.246813947
14.52586182,-0.147160828,1.071875357,1.047286539,-0.313196361,0.440038406,1.2187166,-0.02130127,-0.599187412,-0.27969711
14.67876563,-0.226262391,1.207426395,1.156210578,-0.288294017,0.382764432,1.222226792,0.038513184,-0.720296134,-0.341730504
14.83166943,-0.358342469,1.187449772,1.295030822,-0.25435847,0.374538342,1.236514211,0.160583496,-0.70006469,-0.416814655
14.98457324,-0.407903016,1.030626467,1.441089874,-0.286829174,0.37093853,1.26631305,0.184509277,-0.568623108,-0.48470293
15.13747705,-0.379094422,0.856173775,1.581981623,-0.334436595,0.311442937,1.308349318,0.168395996,-0.434019578,-0.536336814
15.29038086,-0.240422547,0.80438745,1.725064595,-0.390100658,0.17960656,1.353662999,0.128112793,-0.346845273,-0.57535657
15.44328467,-0.176457703,0.89924231,1.890097996,-0.347376049,0.039583573,1.396833593,0.104431152,-0.310832799,-0.609633028
15.59618848,-0.275822937,0.958702013,2.084370934,-0.242151439,0.006729459,1.445590176,0.055358887,-0.324794183,-0.646521532
15.74909229,-0.291936219,0.920579181,2.296133999,-0.262903392,0.029476824,1.511925042,0.023376465,-0.391281235,-0.692637469
15.90199609,-0.383244812,0.788882777,2.508959495,-0.313684642,-0.009973955,1.594593512,0.161560059,-0.375679658,-0.744690388
16.0548999,-0.386418641,0.572093714,2.707228547,-0.311487377,-0.093440777,1.684824533,0.24432373,-0.197401044,-0.783829191
16.20780371,-0.305119812,0.400662997,2.886037501,-0.275842845,-0.156859196,1.780241329,0.19744873,0.001808878,-0.796573956
16.36070752,-0.341740906,0.251889919,3.049083984,-0.202600658,-0.148852037,1.887183842,0.145690918,0.121288174,-0.788251734
16.51361133,-0.316838562,0.08508907,3.195620302,-0.233850658,-0.121428147,2.011746995,0.08782959,0.157795936,-0.771788257
16.66651514,-0.459416687,-0.181157028,3.315637331,-0.263635814,-0.153704425,2.149803533,0.066589355,0.141002796,-0.75722582
16.81941895,-0.502141297,-0.599901632,3.38862801,-0.299036205,-0.249151478,2.290826977,0.136657715,0.168835838,-0.74420813
16.97232275,-0.501164734,-1.062673047,3.398335784,-0.395471752,-0.456673628,2.420423866,0.126159668,0.24538657,-0.724760046
17.12522656,-0.436711609,-1.486682779,3.343518554,-0.385461986,-0.741449963,2.523353791,0.156677246,0.335083974,-0.694113683
17.27813037,-0.424504578,-1.857987392,3.231078787,-0.318323314,-0.980419322,2.596638179,0.168640137,0.450306663,-0.650125421
17.43103418,-0.455998719,-2.245029965,3.064573637,-0.303674877,-1.172436799,2.646748799,0.067321777,0.493942267,-0.597396923
17.58393799,-0.457951844,-2.661007416,2.841511198,-0.304407299,-1.37082483,2.675894333,0.094421387,0.482044584,-0.546278385
17.7368418,-0.452092469,-3.081219939,2.559941435,-0.331751049,-1.605408376,2.679945417,0.117858887,0.513563574,-0.497575893
17.88974561,-0.362981141,-3.440888869,2.224339959,-0.359338939,-1.893899372,2.651520434,0.176208496,0.613719454,-0.44206724
18.04264941,-0.358586609,-3.740789438,1.843934719,-0.38692683,-2.236699792,2.582094293,0.215759277,0.789342175,-0.368373296
18.19555322,-0.333684266,-4.025106376,1.424938987,-0.405237377,-2.629431001,2.463314254,0.128601074,0.925603843,-0.274260646
18.34845703,-0.299260437,-4.26901426,0.972651784,-0.309290111,-2.981117895,2.293882743,-0.02154541,0.87925851,-0.177802774
18.50136084,-0.1830495,-4.40166176,0.500127041,-0.249475658,-3.233768692,2.083803653,-0.031311035,0.712105934,-0.103133973
18.65426465,-0.090031922,-4.381096535,0.029146384,-0.239221752,-3.451580633,1.842631144,0.031188965,0.587986004,-0.056524459
18.80716846,-0.064885437,-4.283000767,-0.421752915,-0.17208308,-3.627188998,1.575771542,0.114440918,0.579591228,-0.025591267
18.96007227,-0.044621766,-4.166658296,-0.845247889,-0.194544017,-3.78353496,1.287748723,0.164733887,0.67767264,0.007118282
19.11297607,0.020807922,-4.002344655,-1.236647978,-0.16060847,-3.947005176,0.979367193,0.125915527,0.787834776,0.050884925
19.26587988,0.162409484,-3.696511395,-1.581656853,-0.100305736,-4.059030026,0.653560742,-0.024475098,0.758429733,0.095828799
19.41878369,0.224177063,-3.249890681,-1.858523675,-0.011682689,-4.080664787,0.32033565,-0.252502441,0.449775484,0.109835539
19.5716875,0.238093078,-2.76238357,-2.053365589,0.076207936,-3.989625081,-0.005637097,-0.148742676,0.054291478,0.065122819
19.72459131,0.210016906,-2.306036545,-2.166147472,0.062780201,-3.860383583,-0.313401224,0.073669434,-0.090558774,-0.025435511
19.87749512,0.271052063,-1.84657423,-2.200196757,0.095250905,-3.735402282,-0.600870358,0.169128418,0.010196476,-0.123460458
20.03039893,0.285212219,-1.35188903,-2.15385594,0.142614186,-3.569915023,-0.865932463,0.234558105,0.24058084,-0.199616244
20.18330273,0.224421203,-0.91122613,-2.029688752,0.142858326,-3.388280653,-1.105013538,0.190124512,0.494950789,-0.241480497
20.33620654,0.177302063,-0.571200042,-1.840578228,0.184606373,-3.194978298,-1.316808901,-0.002990723,0.578478625,-0.259789274
20.48911035,0.186091125,-0.281513894,-1.599351541,0.239538014,-2.948611918,-1.497219309,-0.136779785,0.424160473,-0.28541017
20.64201416,0.175593078,-0.016789551,-1.313383608,0.220739186,-2.693075529,-1.642239734,-0.092346191,0.209280781,-0.340846191
20.79491797,0.061823547,0.126890673,-0.995975391,0.205602467,-2.480090854,-1.755055523,-0.011047363,0.095508067,-0.422695512
20.94782178,-0.005070984,0.106329036,-0.671510209,0.169469655,-2.325521469,-1.844232948,0.26385498,0.2573345,-0.501677664
21.10072559,-0.075871766,-0.043108015,-0.364831054,0.133825123,-2.246469172,-1.921261787,0.281677246,0.647248309,-0.538683122
21.25362939,-0.060246766,-0.256559266,-0.092660819,0.227575123,-2.143567673,-1.991369323,0.032409668,0.871114968,-0.52849763
21.4065332,-0.033635437,-0.459329521,0.139305923,0.275182545,-1.952210581,-2.046974626,-0.086486816,0.82433536,-0.5043333
21.55943701,-0.0424245,-0.66798222,0.330079746,0.26126653,-1.750520628,-2.081223796,-0.149719238,0.645209731,-0.497091656
21.71234082,0.02398175,-0.852979525,0.479761631,0.191930592,-1.624947135,-2.099620964,0.000183105,0.535930501,-0.511663083
21.86524463,-0.035100281,-1.052236105,0.587749772,0.165075123,-1.586705864,-2.115222798,0.195983887,0.692441559,-0.522283993
22.01814844,-0.055608094,-1.329267282,0.645771293,0.210973561,-1.551500926,-2.135831689,0.221130371,1.024334872,-0.494740354
22.17105225,-0.079045594,-1.655324809,0.643162894,0.27689153,-1.450867703,-2.157871358,0.092224121,1.289328393,-0.419954755
22.32395605,-0.142033875,-2.060488468,0.569452277,0.306432545,-1.294144891,-2.173167862,-0.080627441,1.334841068,-0.319311963
22.47685986,0.017145813,-2.406443658,0.422696572,0.295690358,-1.134665693,-2.177871287,-0.139953613,1.208736396,-0.222872975
22.62976367,0.150690734,-2.542963738,0.223350461,0.23782903,-1.03696472,-2.17683168,-0.09967041,1.070109547,-0.145247242
22.78266748,0.157770813,-2.583652737,-0.0050911,0.189245045,-1.029542576,-2.182024992,0.012634277,1.050237007,-0.078666497
22.93557129,0.162409484,-2.626136258,-0.255365817,0.259313405,-1.017687961,-2.200534589,0.10369873,1.191508982,-0.001527907
23.0884751,0.149958313,-2.68274267,-0.528567487,0.322789967,-0.917589507,-2.22596386,0.03704834,1.360922656,0.101267922
23.24137891,0.228083313,-2.695088983,-0.821884975,0.38626653,-0.730987898,-2.245482526,-0.108215332,1.378107001,0.220695395
23.39428271,0.398249328,-2.524121253,-1.117035486,0.361852467,-0.520985719,-2.250847418,-0.163146973,1.246148597,0.333492719
23.54718652,0.431452453,-2.201139538,-1.387205525,0.332067311,-0.355182624,-2.243515553,-0.172424316,1.063695924,0.423509184
23.70009033,0.362360656,-1.90454089,-1.62143685,0.352330983,-0.198459812,-2.227222247,-0.138244629,0.901374203,0.487612614
23.85299414,0.306940734,-1.700076606,-1.827401516,0.338659108,-0.038474558,-2.202020461,-0.06842041,0.825053169,0.533938571
24.00589795,0.298151672,-1.541300861,-2.014191142,0.403600514,0.159795034,-2.164292735,-0.050598145,0.826420595,0.575857863
24.15880176,0.397272766,-1.313802089,-2.17870273,0.465856373,0.454347927,-2.103203181,-0.099914551,0.815933406,0.619567217
24.31170557,0.413630188,-0.999861177,-2.308017084,0.418737233,0.7620116,-2.009797023,-0.159484863,0.730657706,0.659234171
24.46460938,0.420954406,-0.667533589,-2.393191606,0.302770436,0.951732088,-1.89134962,-0.123596191,0.628305331,0.687808083
24.61751318,0.513727844,-0.258267652,-2.425970996,0.298375905,1.056722411,-1.762442083,-0.13848877,0.540205053,0.704443585
